EMP,ESTAB,old_naics,state,county,NAICS2012
0,1,512131,48,003,512131
0,1,515,48,003,515
0,1,5151,48,003,5151
0,1,51511,48,003,51511
0,1,515112,48,003,515112
0,2,517,48,003,517
0,1,5172,48,003,5172
0,1,51721,48,003,51721
0,1,517212,48,003,517212
0,1,5175,48,003,5175
0,1,51751,48,003,51751
0,1,517510,48,003,517510
145,16,52,48,003,52
122,11,522,48,003,522
104,6,5221,48,003,5221
0,4,52211,48,003,52211
0,4,522110,48,003,522110
0,2,52213,48,003,52213
0,2,522130,48,003,522130
18,5,5222,48,003,5222
18,5,52229,48,003,52229
18,5,522291,48,003,522291
0,1,523,48,003,523
0,1,5231,48,003,5231
0,1,52312,48,003,52312
0,1,523120,48,003,523120
0,4,524,48,003,524
0,1,5241,48,003,5241
0,1,52412,48,003,52412
0,1,524126,48,003,524126
0,3,5242,48,003,5242
0,3,52421,48,003,52421
0,3,524210,48,003,524210
39,10,53,48,003,53
6,3,531,48,003,531
0,2,5312,48,003,5312
0,2,53121,48,003,53121
0,2,531210,48,003,531210
0,1,5313,48,003,5313
0,1,53131,48,003,53131
0,1,531311,48,003,531311
33,7,532,48,003,532
0,1,5321,48,003,5321
0,1,53212,48,003,53212
0,1,532120,48,003,532120
18,3,5322,48,003,5322
0,1,53221,48,003,53221
0,1,532210,48,003,532210
